data from https://data.oecd.org/interest/long-term-interest-rates.htm#indicator-chart,,,,,,,
LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,LTINT,TOT,PC_PA,M,1996-09,8.003333,
AUS,LTINT,TOT,PC_PA,M,1996-10,7.550435,
AUS,LTINT,TOT,PC_PA,M,1996-11,7.156667,
AUS,LTINT,TOT,PC_PA,M,1996-12,7.324,
AUS,LTINT,TOT,PC_PA,M,1997-01,7.459048,
AUS,LTINT,TOT,PC_PA,M,1997-02,7.394,
AUS,LTINT,TOT,PC_PA,M,1997-03,7.899474,
AUS,LTINT,TOT,PC_PA,M,1997-04,7.92381,
AUS,LTINT,TOT,PC_PA,M,1997-05,7.674545,
AUS,LTINT,TOT,PC_PA,M,1997-06,7.151,
AUS,LTINT,TOT,PC_PA,M,1997-07,6.642609,
AUS,LTINT,TOT,PC_PA,M,1997-08,6.650952,
AUS,LTINT,TOT,PC_PA,M,1997-09,6.311364,
AUS,LTINT,TOT,PC_PA,M,1997-10,6.182174,
AUS,LTINT,TOT,PC_PA,M,1997-11,6.031,
AUS,LTINT,TOT,PC_PA,M,1997-12,6.139048,
AUS,LTINT,TOT,PC_PA,M,1998-01,5.806,
AUS,LTINT,TOT,PC_PA,M,1998-02,5.887,
AUS,LTINT,TOT,PC_PA,M,1998-03,5.865,
AUS,LTINT,TOT,PC_PA,M,1998-04,5.685,
AUS,LTINT,TOT,PC_PA,M,1998-05,5.639048,
AUS,LTINT,TOT,PC_PA,M,1998-06,5.57619,
AUS,LTINT,TOT,PC_PA,M,1998-07,5.521304,
AUS,LTINT,TOT,PC_PA,M,1998-08,5.638571,
AUS,LTINT,TOT,PC_PA,M,1998-09,5.345909,
AUS,LTINT,TOT,PC_PA,M,1998-10,4.965909,
AUS,LTINT,TOT,PC_PA,M,1998-11,5.130952,
AUS,LTINT,TOT,PC_PA,M,1998-12,4.854762,
AUS,LTINT,TOT,PC_PA,M,1999-01,5.127895,
AUS,LTINT,TOT,PC_PA,M,1999-02,5.3,
AUS,LTINT,TOT,PC_PA,M,1999-03,5.526522,
AUS,LTINT,TOT,PC_PA,M,1999-04,5.3575,
AUS,LTINT,TOT,PC_PA,M,1999-05,5.875714,
